Frequency (Hz)	Level (dB)
406,250000	-67,216042
437,500000	-62,751160
468,750000	-44,394310
500,000000	-41,598812
531,250000	-45,399906
562,500000	-44,748470
593,750000	-43,182777
625,000000	-37,056488
656,250000	-38,705746
687,500000	-45,290154
718,750000	-53,084332
750,000000	-51,315250
781,250000	-48,587399
812,500000	-35,157181
843,750000	-33,479641
875,000000	-43,428310
906,250000	-66,695251
937,500000	-53,910419
968,750000	-43,795834
1000,000000	-45,392616
1031,250000	-56,916683
1062,500000	-57,926052
1093,750000	-48,132343
1125,000000	-50,421932
1156,250000	-64,179611
1187,500000	-62,119469
1218,750000	-45,713551
1250,000000	-41,047802
1281,250000	-44,946045
1312,500000	-44,789196
1343,750000	-48,797153
1375,000000	-64,366653
1406,250000	-71,117165
1437,500000	-54,563454
1468,750000	-46,237923
1500,000000	-48,011688
1531,250000	-60,851803
1562,500000	-70,136253
1593,750000	-56,509010
1625,000000	-40,628750
1656,250000	-36,783840
1687,500000	-39,865467
1718,750000	-51,270302
1750,000000	-71,319687
1781,250000	-73,957497
1812,500000	-61,308170
1843,750000	-48,954308
1875,000000	-47,632896
1906,250000	-48,785656
1937,500000	-44,731800
1968,750000	-42,257980
2000,000000	-45,668045
2031,250000	-58,226730
2062,500000	-70,660835
2093,750000	-74,868652
2125,000000	-74,514816
2156,250000	-59,725311
2187,500000	-49,829712
2218,750000	-47,731213
2250,000000	-51,989346
2281,250000	-63,076195
2312,500000	-71,947380
2343,750000	-70,806137
2375,000000	-69,144127
2406,250000	-60,637508
2437,500000	-48,556835
2468,750000	-40,799274
2500,000000	-37,729771
2531,250000	-39,407127
2562,500000	-46,434505
2593,750000	-52,170067
2625,000000	-46,949245
2656,250000	-48,691338
2687,500000	-55,187695
2718,750000	-62,533825
2750,000000	-61,407726
2781,250000	-57,254280
2812,500000	-60,719761
2843,750000	-72,506767
2875,000000	-69,543793
2906,250000	-63,100151
2937,500000	-56,946217
2968,750000	-56,107136
3000,000000	-61,181202
3031,250000	-67,570038
3062,500000	-55,817314
3093,750000	-51,440277
3125,000000	-52,392975
3156,250000	-56,908058
3187,500000	-61,145699
3218,750000	-63,943855
3250,000000	-54,450851
3281,250000	-47,393715
3312,500000	-44,127537
3343,750000	-43,574738
3375,000000	-46,402374
3406,250000	-51,774822
3437,500000	-59,640022
3468,750000	-61,815945
3500,000000	-63,084869
3531,250000	-70,488831
3562,500000	-75,818855
3593,750000	-76,995438
3625,000000	-74,048325
3656,250000	-62,893383
3687,500000	-53,547005
3718,750000	-53,318626
3750,000000	-55,167599
3781,250000	-57,989437
3812,500000	-60,990917
3843,750000	-62,490425
3875,000000	-64,390152
3906,250000	-62,181118
3937,500000	-58,425587
3968,750000	-56,658314
4000,000000	-59,334621
4031,250000	-62,329185
4062,500000	-62,040123
4093,750000	-52,717304
4125,000000	-49,191330
4156,250000	-47,726067
4187,500000	-48,012688
4218,750000	-50,645668
4250,000000	-57,534195
4281,250000	-65,485214
4312,500000	-61,625843
4343,750000	-59,752209
4375,000000	-59,789452
4406,250000	-59,033546
4437,500000	-57,408421
4468,750000	-61,281391
4500,000000	-68,313438
4531,250000	-68,906563
4562,500000	-61,306568
4593,750000	-59,521294
4625,000000	-61,593269
4656,250000	-65,077606
4687,500000	-70,821602
4718,750000	-77,300102
4750,000000	-79,462646
4781,250000	-79,306160
4812,500000	-77,261887
4843,750000	-74,104462
4875,000000	-66,292015
4906,250000	-60,318989
4937,500000	-56,249332
4968,750000	-55,974388
5000,000000	-56,531097
5031,250000	-56,499359
5062,500000	-55,400318
5093,750000	-57,197708
5125,000000	-63,393307
5156,250000	-59,981895
5187,500000	-61,229935
5218,750000	-67,650658
5250,000000	-67,594902
5281,250000	-65,727211
5312,500000	-63,536545
5343,750000	-66,765411
5375,000000	-72,270790
5406,250000	-74,693275
5437,500000	-75,079422
5468,750000	-74,557693
5500,000000	-75,056999
5531,250000	-70,831795
5562,500000	-67,247017
5593,750000	-66,557610
5625,000000	-66,722275
5656,250000	-66,353912
5687,500000	-67,906822
5718,750000	-64,875160
5750,000000	-60,977383
5781,250000	-59,965305
5812,500000	-58,721512
5843,750000	-58,501690
5875,000000	-60,068134
5906,250000	-61,306309
5937,500000	-62,237446
5968,750000	-64,537392
6000,000000	-69,536316
6031,250000	-72,275948
6062,500000	-74,013107
6093,750000	-76,950325
6125,000000	-75,197380
6156,250000	-69,664650
6187,500000	-68,976151
6218,750000	-66,557068
6250,000000	-66,831902
6281,250000	-71,225830
6312,500000	-72,643684
6343,750000	-74,770714
6375,000000	-76,586632
6406,250000	-76,786201
6437,500000	-76,746704
6468,750000	-76,161362
6500,000000	-71,992912
6531,250000	-67,606285
6562,500000	-64,518082
6593,750000	-60,643635
6625,000000	-60,743851
6656,250000	-60,885815
6687,500000	-60,259254
6718,750000	-62,175850
6750,000000	-63,145443
6781,250000	-64,378326
6812,500000	-67,859352
6843,750000	-67,935051
6875,000000	-67,922775
6906,250000	-66,484818
6937,500000	-67,626160
6968,750000	-73,396057
7000,000000	-76,818909
7031,250000	-79,341728
7062,500000	-83,227806
7093,750000	-82,956696
7125,000000	-80,138130
7156,250000	-79,406456
7187,500000	-77,397041
7218,750000	-74,432213
7250,000000	-72,712257
7281,250000	-72,036621
7312,500000	-71,985092
7343,750000	-72,501152
7375,000000	-68,799744
7406,250000	-66,243530
7437,500000	-65,180176
7468,750000	-66,065773
7500,000000	-66,998192
7531,250000	-69,098465
7562,500000	-73,209633
7593,750000	-79,188545
7625,000000	-86,692924
7656,250000	-94,021500
7687,500000	-95,479607
7718,750000	-95,544907
7750,000000	-95,613770
7781,250000	-95,669785
7812,500000	-95,712845
7843,750000	-95,748047
7875,000000	-95,774841
7906,250000	-95,794762
7937,500000	-95,808472
7968,750000	-95,816544
